code_a,name_a,country_a,code_b,name_b,country_b,water_type,water_body,border_km,ne_cov,has_bridge,crossings,note
CHN018,Liaoning Sheng,China,PRK008,P'yongan-bukto,D. P. R. of Korea,river,Yalu; Supung Reservoir,109.9,0.87,True,yes; 上河口铁路桥; 中朝友谊桥 조중친선다리; 中朝鸭绿江大桥 조중압록강다리; 丹东线,osm
BRA020,Parana,Brazil,PRY002,Alto Parana,Paraguay,river,Paraná; Itaipu Reservoir,103.6,1.0,True,Ponte da Amizade; Ponte da Integração; Puente de la Amistad; Puente de la Integración,osm
ARG008,Entre Rios,Argentina,URY015,Salto,Uruguay,river,Uruguay; Salto Grande Reservoir,99.2,1.0,True,Ruta Nacional A015 Miguel Huarte; yes,osm
AGO012,Lunda Norte,Angola,COD024,Lualaba,Democratic Republic of Congo,river,Kasai,93.5,0.99,False,,osm
LAO011,Saravan,Lao People's Democratic Republic,THA071,Ubon Ratchathani,Thailand,river,Mekong,92.2,1.0,False,,osm
ARG004,Chaco,Argentina,PRY014,Neembucu,Paraguay,river,Bermejo; Paraná,87.3,0.96,False,,osm
ARM003,Armavir,Armenia,TUR038,Igdir,Türkiye,river,Aras,84.8,1.0,True,Iğdır - Alican Sınır Kapısı Yolu; yes,recheck2:physical-link-border-closed:border closed since 1993
LAO013,Vientiane,Lao People's Democratic Republic,THA020,Loei,Thailand,river,Lancang; Mekong,82.9,1.0,False,,osm
MOZXXX,Area under National Administration,Mozambique,MWI002,Northern Region,Malawi,lake,Lake Malawi,79.0,1.0,False,,huge-lake/knowledge
BDI020,Rumonge,Burundi,COD011,Sud-Kivu,Democratic Republic of Congo,lake,Lake Tanganyika,77.8,1.0,False,,huge-lake/knowledge
CHE001,Aargau,Switzerland,DEU001,Baden-Wuerttemberg,Germany,river,Rhin,72.7,1.0,True,Alte Rheinbrücke; Fridolinsbrücke; Hochrheinbrücke; Holzbrücke Bad Säckingen; Kraftwerk Ryburg-Schwörstadt,osm
TZA016,Mara,Tanzania,UGA026,Buvuma,Uganda,lake,Lake Victoria,71.8,1.0,False,,huge-lake/knowledge
KEN008,Homa Bay,Kenya,KEN038,Siaya,Kenya,lake,Lake Victoria,70.4,1.0,False,,huge-lake/knowledge
ISR004,Northern,Israel,JOR005,Irbid,Jordan,river,Jordan,68.1,0.77,True,abandoned; former Hejaz railway; yes; גשר אדם; גשר ביילי,osm
CAN009,Ontario,Canada,USA039,Pennsylvania,United States of America,lake,Lake Erie,66.4,1.0,False,,huge-lake/knowledge
HRV018,Virovitica-podravina,Croatia,HUN015,Somogy,Hungary,river,Mur,64.0,0.93,True,yes,osm
NAM001,Caprivi,Namibia,ZMB109,Southern,Zambia,river,Chobe; Zambezi,60.5,0.96,False,,osm
NIC016,Río San Juan,Nicaragua,CRI004,Heredia,Costa Rica,river,San Juan,59.0,1.0,False,,verified:no-open-bridge
CZE002,Jihomoravsky,Czech Republic,SVK007,Trnava,Slovak Republic,river,Morava,56.8,0.69,True,boardwalk; yes,osm
PRY004,Boqueron,Paraguay,ARG017,Salta,Argentina,river,Pilcomayo,55.7,1.0,True,Puente Pozo Hondo - Mision La Paz,osm
BIH001,Federacija Bosne I Hercegovine,Bosnia and Herzegovina,HRV019,Vukovar-srijem,Croatia,river,Sava,54.4,0.91,True,Most Županja - Orašje; yes,osm
AZE073,Zangilan,Azerbaijan,IRN004,East Azarbayejan,Islamic Republic of Iran,river,Aras,53.6,0.92,False,,recheck2:False:under-construction (Aghband-Kalala)
AGO012,Lunda Norte,Angola,COD019,Kasaï-Central,Democratic Republic of Congo,river,Kasai,53.2,1.0,False,,verified:no-open-bridge
TZA006,Kagera,Tanzania,TZA016,Mara,Tanzania,lake,Lake Victoria,51.0,1.0,False,,huge-lake/knowledge
NLD002,Flevoland,Netherlands,NLD004,Gelderland,Netherlands,lake,IJsselmeer,46.8,1.0,True,Nijkerkerbrug; Nijkerkerweg; Veldweg; boardwalk; yes,osm
ARM008,Syunik,Armenia,IRN004,East Azarbayejan,Islamic Republic of Iran,river,Aras,44.8,0.86,True,yes; Երևան-Մեղրի ավտոմայրուղի; Կապան-Մեղրի մայրուղի; جاده خمارلو - جلفا,osm
COD017,Ituri,Democratic Republic of Congo,UGA020,Buliisa,Uganda,lake,Lake Albert,43.5,1.0,False,,huge-lake/knowledge
AUT008,Vorarlberg,Austria,CHE016,Sankt Gallen,Switzerland,river,Rhein,43.3,0.89,True,Hauptstraße; Holzbrücke; Lustenauer Bundesstraße; Montlinger Straße; Paul Grüninger Brücke,osm
MDA027,Riscani,Moldova,ROU007,Botoşani,Romania,river,Prut,42.7,1.0,True,(web-verified),verified:open-bridge
CIV029,Lacs,Côte d'Ivoire,CIV032,Sassandra-Marahoué,Côte d'Ivoire,lake,Lac de Kossou,40.5,1.0,False,,huge-lake/knowledge
ESP002,Andalucía,Spain,PRT009,Faro,Portugal,river,Guadiana,39.4,1.0,True,Autovía del Quinto Centenario; Puente Internacional del Guadiana / Ponte Internacional do Guadiana; Via do Infante,osm
CHN011,Heilongjiang Sheng,China,RUS014,Chitinskaya Oblast,Russian Federation,river,Heilong Jiang,37.8,1.0,False,,osm
BIH001,Federacija Bosne I Hercegovine,Bosnia and Herzegovina,HRV015,Slavonski Brod-posav,Croatia,river,Sava,36.9,0.9,True,Most 5. gardijske brigade Slavonski sokolovi; Most Svilaj,osm
