level,code_a,code_b,has_bridge,water_type,water_body,note
adm1,BGR028,ROU018,False,river,Danube,wide-river overlay (5km re-screen + ground-truth)
adm1,BGR013,ROU031,False,river,Danube,wide-river overlay (5km re-screen + ground-truth)
adm1,BGR026,ROU037,False,river,Danube,wide-river overlay (5km re-screen + ground-truth)
adm1,BGR016,ROU037,False,river,Danube,wide-river overlay (5km re-screen + ground-truth)
adm1,MOZ008,TZA025,True,river,Ruvuma,wide-river overlay (5km re-screen + ground-truth)
adm1,ALB031,MNE020,True,river,Bojana,wide-river overlay (5km re-screen + ground-truth)
adm1,DEU011,LUX002,True,river,Moselle; Sauer,wide-river overlay (5km re-screen + ground-truth)
adm1,PRK002,RUS060,True,river,Tumen,wide-river overlay (5km re-screen + ground-truth)
adm1,BWA002,ZMB109,True,river,Chobe; Zambezi,wide-river overlay (5km re-screen + ground-truth)
adm0,AFG,TJK,True,,,adm1-rollup
adm0,AFG,UZB,True,,,adm1-rollup
adm0,ARG,PRY,True,,,adm1-rollup
adm0,ARM,IRN,True,,,adm1-rollup
adm0,AZE,TUR,True,,,adm1-rollup
adm0,BDI,COD,True,,,adm1-rollup
adm0,BWA,ZMB,True,,,adm1-rollup
adm0,CAF,COD,False,,,adm1-rollup
adm0,CHN,PRK,True,,,adm1-rollup
adm0,COD,TZA,False,,,adm1-rollup
adm0,FIN,SWE,True,,,adm1-rollup
adm0,GRC,TUR,True,,,adm1-rollup
adm0,JOR,PSE,True,,,adm1-rollup
adm0,LAO,MMR,True,,,adm1-rollup
adm0,MDA,ROU,True,,,adm1-rollup
adm0,MOZ,TZA,True,,,adm1-rollup
adm0,MRT,SEN,False,,,adm1-rollup
adm0,PRK,RUS,True,,,adm1-rollup
adm0,RWA,TZA,True,,,adm1-rollup
adm0,ZAF,ZWE,True,,,adm1-rollup
adm0,ZMB,ZWE,True,,,adm1-rollup
