ADM1_code_A,ADM1_name_A,country_A,ISO_A3_A,WB_region_A,ADM1_code_B,ADM1_name_B,country_B,ISO_A3_B,WB_region_B,cross_country,border_length_km,narrow_border,potential_artifact
ALB002,Bulqize,Albania,ALB,ECA,ALB024,Mat,Albania,ALB,ECA,False,26.5028,False,False
ALB002,Bulqize,Albania,ALB,ECA,ALB034,Tirane,Albania,ALB,ECA,False,13.4628,False,False
ALB002,Bulqize,Albania,ALB,ECA,MKD007,Southwest,North Macedonia,MKD,ECA,True,41.6055,False,False
ALB003,Delvine,Albania,ALB,ECA,ALB009,Gjirokaster,Albania,ALB,ECA,False,45.2002,False,False
ALB003,Delvine,Albania,ALB,ECA,ALB030,Sarande,Albania,ALB,ECA,False,53.5789,False,False
ALB004,Devoll,Albania,ALB,ECA,ALB013,Kolonje,Albania,ALB,ECA,False,9.0568,False,False
ALB004,Devoll,Albania,ALB,ECA,ALB014,Korce,Albania,ALB,ECA,False,47.915,False,False
ALB004,Devoll,Albania,ALB,ECA,ALB023,Mallakaster,Albania,ALB,ECA,False,30.5603,False,False
ALB004,Devoll,Albania,ALB,ECA,GRC004,Dytiki Makedonia,Greece,GRC,Other,True,58.3525,False,False
ALB005,Diber,Albania,ALB,ECA,ALB017,Kukes,Albania,ALB,ECA,False,47.7122,False,False
ALB005,Diber,Albania,ALB,ECA,MKD004,Polog,North Macedonia,MKD,ECA,True,36.4447,False,False
ALB005,Diber,Albania,ALB,ECA,MKD007,Southwest,North Macedonia,MKD,ECA,True,8.9676,False,False
ALB006,Durres,Albania,ALB,ECA,ALB034,Tirane,Albania,ALB,ECA,False,26.8473,False,False
ALB007,Elbasan,Albania,ALB,ECA,ALB034,Tirane,Albania,ALB,ECA,False,29.134,False,False
ALB008,Fier,Albania,ALB,ECA,ALB036,Vlore,Albania,ALB,ECA,False,38.496,False,False
ALB009,Gjirokaster,Albania,ALB,ECA,ALB036,Vlore,Albania,ALB,ECA,False,4.2692,True,False
ALB009,Gjirokaster,Albania,ALB,ECA,GRC006,Ipeiros,Greece,GRC,Other,True,56.448,False,False
ALB010,Gramsh,Albania,ALB,ECA,ALB001,Berat,Albania,ALB,ECA,False,23.9996,False,False
